S. No.,GADE(Generalized Anxiety disorder),Percentage(RESULT),SWL(Satisfaction of work life),Game,Platform,Hours,earnings,whyplay,Gender,Age,Work,Degree,Birthplace,Residence
8764,Very difficult,51-75%,4,League of Legends,PC,20,I play for fun,improving,Male,27,Unemployed / between jobs,Bachelor (or equivalent),Germany,Germany
8765,Somewhat difficult,26-50%,5,League of Legends,PC,9,I play for fun,having fun,Male,18,Student at school,None,USA,USA
8766,Somewhat difficult,26-50%,2,League of Legends,PC,20,I play for fun,a combination of all,Male,18,Student at school,High school diploma (or equivalent),Netherlands,Netherlands
8767,Somewhat difficult,26-50%,6,Other,PC,20,I play for fun,having fun,Male,21,Student at college / university,Bachelor (or equivalent),UK,UK
8768,Somewhat difficult,26-50%,1,Counter Strike,PC,8,I play for fun,having fun,Male,19,Student at college / university,High school diploma (or equivalent),Brazil,Brazil
8769,Somewhat difficult,26-50%,2,League of Legends,PC,35,I play for fun,winning,Male,21,Student at college / university,Bachelor (or equivalent),Greece,Greece
8770,Not difficult at all,1-25%,7,League of Legends,PC,3,I play for fun,improving,Female,26,Student at college / university,Master (or equivalent),Germany,Germany
8771,Extremely difficult,76-100%,1,Other,PC,25,I play for fun,relaxing,Male,18,Student at school,None,Germany,Germany
8772,Not difficult at all,1-25%,5,League of Legends,PC,12,I play for fun,Both having fun and relaxing,Male,18,Student at school,None,Denmark,Denmark
8773,Not difficult at all,1-25%,2,League of Legends,PC,45,I play for fun,all of the above,Male,22,Employed,High school diploma (or equivalent),USA,USA
8774,NA,0,2,League of Legends,PC,20,I play for fun,improving,Male,19,Student at college / university,High school diploma (or equivalent),Canada,Canada
8775,Not difficult at all,1-25%,3,League of Legends,PC,30,I play for fun,winning,Male,21,Student at college / university,High school diploma (or equivalent),USA,USA
8777,Somewhat difficult,26-50%,3,League of Legends,PC,30,I play for fun,having fun,Male,23,Student at college / university,High school diploma (or equivalent),Romania,Romania
8778,Somewhat difficult,26-50%,3,League of Legends,PC,10,I play for fun,having fun,Male,22,Student at college / university,High school diploma (or equivalent),USA,USA
8779,Not difficult at all,1-25%,1,League of Legends,PC,21,I play for fun,improving,Male,21,Student at college / university,High school diploma (or equivalent),Italy,Italy
8780,Not difficult at all,1-25%,2,League of Legends,PC,28,I play for fun,having fun,Male,19,Student at college / university,High school diploma (or equivalent),Germany,Germany
8781,NA,0,3,League of Legends,PC,30,I play for fun,having fun,Male,19,Student at college / university,High school diploma (or equivalent),UK,UK
8782,Somewhat difficult,26-50%,5,League of Legends,PC,20,I play for fun,winning,Male,21,Student at college / university,Bachelor (or equivalent),France,France
8783,Somewhat difficult,26-50%,1,League of Legends,PC,30,I play for fun,having fun,Male,25,Student at college / university,Bachelor (or equivalent),Israel,Israel
8784,Extremely difficult,76-100%,1,League of Legends,PC,23,I play for fun,"A, B, and D",Male,24,Employed,Bachelor (or equivalent),USA,USA
8785,Somewhat difficult,26-50%,2,League of Legends,PC,10,I play for fun,winning,Male,23,Student at college / university,None,New Zealand,New Zealand 
8786,Somewhat difficult,26-50%,2,League of Legends,PC,18,I play for fun,improving,Male,18,Student at school,None,USA,USA
8787,Not difficult at all,1-25%,4,League of Legends,PC,15,I play for fun,having fun,Male,20,Student at college / university,High school diploma (or equivalent),UK,UK
8788,Very difficult,51-75%,2,League of Legends,PC,16,I play for fun,having fun,Male,22,Unemployed / between jobs,High school diploma (or equivalent),UK,UK
8789,Not difficult at all,1-25%,3,Other,PC,30,I play for fun,having fun,Male,22,Student at college / university,Bachelor (or equivalent),Chile,Chile
8790,Not difficult at all,1-25%,7,League of Legends,PC,10,I play for fun,relaxing,Male,22,Employed,Bachelor (or equivalent),Mexico,Mexico
8791,Somewhat difficult,26-50%,1,League of Legends,PC,35,I play for fun,having fun,Male,18,Student at college / university,High school diploma (or equivalent),Germany,Germany
8792,Not difficult at all,1-25%,1,World of Warcraft,PC,20,I play for fun,having fun,Male,26,Unemployed / between jobs,High school diploma (or equivalent),USA,USA
8793,Somewhat difficult,26-50%,2,League of Legends,PC,24,I play for fun,winning,Male,24,Employed,Bachelor (or equivalent),Poland,Poland
8794,Not difficult at all,1-25%,7,League of Legends,PC,10,"I play mostly for fun but earn a little on the side (tournament winnings, streaming, etc)",Learning,Male,22,Student at college / university,High school diploma (or equivalent),Mexico,USA
8795,Very difficult,51-75%,1,League of Legends,PC,11,I play for fun,improving,Male,18,Unemployed / between jobs,High school diploma (or equivalent),Portugal,Switzerland
8796,Not difficult at all,1-25%,1,League of Legends,PC,13,I play for fun,having fun,Male,18,Student at school,None,Poland,Poland
8797,Not difficult at all,1-25%,1,League of Legends,PC,15,I play for fun,having fun,Male,21,Employed,Bachelor (or equivalent),UK,UK
8798,Not difficult at all,1-25%,5,League of Legends,PC,15,I play for fun,having fun,Male,18,Student at school,High school diploma (or equivalent),USA,USA
8799,Not difficult at all,1-25%,1,League of Legends,PC,20,I play for fun,having fun,Male,24,Employed,Bachelor (or equivalent),USA,USA
8801,Somewhat difficult,26-50%,1,League of Legends,PC,20,I play for fun,having fun,Male,20,Unemployed / between jobs,High school diploma (or equivalent),USA,USA
8802,Not difficult at all,1-25%,4,League of Legends,PC,15,I play for fun,improving,Male,24,Student at college / university,Bachelor (or equivalent),USA,USA
8803,Not difficult at all,1-25%,2,League of Legends,PC,2,I play for fun,improving,Male,20,Student at college / university,Bachelor (or equivalent),Netherlands,Netherlands
8804,Not difficult at all,1-25%,4,Other,PC,21,I play for fun,improving,Male,21,Student at college / university,High school diploma (or equivalent),USA,USA
8805,Somewhat difficult,26-50%,5,League of Legends,PC,10,I play for fun,improving,Male,20,Student at college / university,High school diploma (or equivalent),USA,USA
8806,Not difficult at all,1-25%,1,League of Legends,PC,10,I play for fun,improving,Male,22,Student at college / university,High school diploma (or equivalent),USA,USA
8807,Somewhat difficult,26-50%,3,League of Legends,PC,15,I play for fun,improving,Male,21,Student at college / university,High school diploma (or equivalent),Canada,Canada
8808,Not difficult at all,1-25%,4,League of Legends,PC,22,I play for fun,improving,Male,26,Employed,Master (or equivalent),Mexico,Mexico
8809,Somewhat difficult,26-50%,6,League of Legends,PC,40,I play for fun,improving,Male,18,Student at school,None,Brazil,Brazil
8810,Somewhat difficult,26-50%,4,League of Legends,PC,20,I play for fun,winning,Male,19,Student at college / university,High school diploma (or equivalent),Switzerland,Switzerland
8811,Not difficult at all,1-25%,4,League of Legends,PC,30,I play for fun,winning,Male,18,Student at school,High school diploma (or equivalent),USA,USA
8812,Somewhat difficult,26-50%,3,League of Legends,PC,20,"I play mostly for fun but earn a little on the side (tournament winnings, streaming, etc)",winning,Male,18,Student at school,High school diploma (or equivalent),Greece,Greece
8813,Very difficult,51-75%,1,League of Legends,PC,NA,I play for fun,improving,Male,27,Employed,High school diploma (or equivalent),Canada,Canada
8814,Not difficult at all,1-25%,1,League of Legends,PC,30,I play for fun,having fun,Male,22,Unemployed / between jobs,None,USA,USA
8815,Somewhat difficult,26-50%,2,Other,PC,10,I play for fun,having fun,Other,26,Student at college / university,High school diploma (or equivalent),USA,USA
8816,Not difficult at all,1-25%,3,League of Legends,PC,25,I play for fun,having fun,Male,24,Employed,High school diploma (or equivalent),USA,USA
8817,NA,0,6,League of Legends,PC,10,I play for fun,having fun,Male,27,Employed,Bachelor (or equivalent),USA,USA
8818,Somewhat difficult,26-50%,5,League of Legends,PC,3,I play for fun,improving,Female,20,Student at college / university,High school diploma (or equivalent),New Zealand,New Zealand 
8819,Somewhat difficult,26-50%,1,Other,PC,35,I play for fun,having fun,Male,19,Student at college / university,High school diploma (or equivalent),USA,USA
8821,Not difficult at all,1-25%,5,League of Legends,PC,12,I play for fun,having fun,Male,25,Student at college / university,High school diploma (or equivalent),Germany,Germany
8823,Not difficult at all,1-25%,1,League of Legends,PC,15,I play for fun,winning,Male,22,Unemployed / between jobs,High school diploma (or equivalent),USA,South Korea
8824,Not difficult at all,1-25%,2,League of Legends,PC,40,I play for fun,winning,Male,28,Unemployed / between jobs,Master (or equivalent),Italy,Sweden
8825,Not difficult at all,1-25%,6,Other,PC,40,"I play mostly for fun but earn a little on the side (tournament winnings, streaming, etc)",winning,Male,19,Student at college / university,High school diploma (or equivalent),Lithuania,Norway
8826,Not difficult at all,1-25%,2,Other,PC,50,I play for fun,having fun,Male,18,Student at college / university,High school diploma (or equivalent),Argentina,Argentina
8827,Very difficult,51-75%,1,League of Legends,PC,15,I play for fun,having fun,Male,18,Student at school,High school diploma (or equivalent),USA,USA
8828,Not difficult at all,1-25%,6,Other,"Console (PS, Xbox, ...)",5,I play for fun,having fun,Male,23,Employed,Bachelor (or equivalent),USA,USA
8829,Not difficult at all,1-25%,2,League of Legends,PC,20,I play for fun,having fun,Male,25,Student at college / university,High school diploma (or equivalent),Denmark,Denmark
8830,Somewhat difficult,26-50%,2,League of Legends,PC,20,I play for fun,having fun,Male,20,Student at college / university,High school diploma (or equivalent),UK,UK
8831,Somewhat difficult,26-50%,1,League of Legends,PC,15,I play for fun,winning,Male,25,Unemployed / between jobs,Bachelor (or equivalent),Ireland,Ireland
8832,NA,0,3,League of Legends,PC,15,I play for fun,having fun,Male,20,Student at college / university,High school diploma (or equivalent),USA,USA
8833,Somewhat difficult,26-50%,1,League of Legends,PC,14,I play for fun,having fun,Male,19,Student at college / university,High school diploma (or equivalent),Finland,Finland
8834,Somewhat difficult,26-50%,1,League of Legends,PC,30,I play for fun,improving,Male,18,Student at college / university,Bachelor (or equivalent),Morocco,Morocco
8835,NA,0,2,Other,PC,70,I earn a living by playing this game,having fun,Male,28,Student at college / university,Bachelor (or equivalent),Germany,Germany
8836,Somewhat difficult,26-50%,2,League of Legends,PC,14,I play for fun,having fun,Male,18,Student at school,None,Colombia,Colombia
8837,Somewhat difficult,26-50%,5,League of Legends,PC,72,"I play mostly for fun but earn a little on the side (tournament winnings, streaming, etc)",having fun,Male,18,Student at college / university,High school diploma (or equivalent),Ireland,USA
8838,Not difficult at all,1-25%,6,League of Legends,PC,50,I play for fun,having fun,Male,18,Student at school,None,USA,USA
8839,Not difficult at all,1-25%,1,League of Legends,PC,30,"I play mostly for fun but earn a little on the side (tournament winnings, streaming, etc)",improving,Male,19,Employed,Master (or equivalent),Switzerland,Switzerland
8840,Not difficult at all,1-25%,3,League of Legends,PC,50,I play for fun,winning,Male,18,Student at college / university,High school diploma (or equivalent),Canada,Canada
8841,Somewhat difficult,26-50%,1,League of Legends,PC,15,I play for fun,having fun,Male,18,Student at school,None,Germany,Germany
8842,Not difficult at all,1-25%,3,League of Legends,PC,30,I play for fun,winning,Male,21,Student at college / university,High school diploma (or equivalent),Germany,Germany
8843,Not difficult at all,1-25%,2,League of Legends,PC,30,"I mainly play for fun but have tried to get on ""competitive"" scene (like small tournaments). Not being able to do that atm.",improving,Male,18,Student at school,High school diploma (or equivalent),Finland,Finland
8845,Not difficult at all,1-25%,5,League of Legends,PC,2,I play for fun,having fun,Male,20,Student at college / university,High school diploma (or equivalent),USA,USA
8846,Somewhat difficult,26-50%,5,League of Legends,PC,10,I play for fun,improving,Female,21,Student at college / university,High school diploma (or equivalent),Canada,Canada
8847,Not difficult at all,1-25%,3,Counter Strike,PC,25,I play for fun,having fun,Male,21,Employed,High school diploma (or equivalent),USA,USA
8848,Not difficult at all,1-25%,3,League of Legends,PC,25,I play for fun,having fun,Male,23,Unemployed / between jobs,Bachelor (or equivalent),Canada,Canada
8850,Not difficult at all,1-25%,1,League of Legends,PC,15,I play for fun,having fun,Male,21,Student at college / university,High school diploma (or equivalent),USA,USA
8851,Not difficult at all,1-25%,4,League of Legends,PC,20,I play for fun,improving,Male,27,Employed,High school diploma (or equivalent),USA,USA
8853,Not difficult at all,1-25%,3,League of Legends,PC,10,I play for fun,relaxing,Male,23,Unemployed / between jobs,Bachelor (or equivalent),USA,USA
